Dataset,Method,Scenario,Sensitive_Features_Used,Run,IDI_Ratio,Time_Seconds
COMPAS,Random Search,Single,Sex,11,0.012,64.63138699531555
COMPAS,Random Search,Single,Sex,12,0.018,65.3144702911377
COMPAS,Random Search,Single,Sex,13,0.013,65.22417211532593
COMPAS,Random Search,Single,Sex,14,0.016,65.35377407073975
COMPAS,Random Search,Single,Sex,15,0.015,65.10727405548096
COMPAS,Random Search,Single,Sex,16,0.01,64.99446511268616
COMPAS,Random Search,Single,Sex,17,0.006,64.45686888694763
COMPAS,Random Search,Single,Sex,18,0.019,64.95710492134094
COMPAS,Random Search,Single,Sex,19,0.011,64.90600800514221
COMPAS,Random Search,Single,Sex,20,0.009,65.2472288608551
COMPAS,Random Search,Single,Sex,21,0.013,64.82601928710938
COMPAS,Random Search,Single,Sex,22,0.015,65.41795301437378
COMPAS,Random Search,Single,Sex,23,0.017,65.4495689868927
COMPAS,Random Search,Single,Sex,24,0.012,64.89593815803528
COMPAS,Random Search,Single,Sex,25,0.016,65.10164284706116
COMPAS,Random Search,Single,Sex,26,0.012,65.15219616889954
COMPAS,Random Search,Single,Sex,27,0.01,64.76324677467346
COMPAS,Random Search,Single,Sex,28,0.011,64.66567397117615
COMPAS,Random Search,Single,Sex,29,0.009,64.92520403862
COMPAS,Random Search,Single,Sex,30,0.013,64.98747181892395
COMPAS,GA+Local Search,Single,Sex,1,0.086,64.47200417518616
COMPAS,GA+Local Search,Single,Sex,2,0.059,64.39669513702393
COMPAS,GA+Local Search,Single,Sex,3,0.078,64.7869827747345
COMPAS,GA+Local Search,Single,Sex,4,0.085,64.83630013465881
COMPAS,GA+Local Search,Single,Sex,5,0.089,64.85974216461182
COMPAS,GA+Local Search,Single,Sex,6,0.081,64.349689245224
COMPAS,GA+Local Search,Single,Sex,7,0.087,64.30253481864929
COMPAS,GA+Local Search,Single,Sex,8,0.08,63.92691707611084
COMPAS,GA+Local Search,Single,Sex,9,0.055,67.27922821044922
COMPAS,GA+Local Search,Single,Sex,10,0.08,63.99366116523743
COMPAS,GA+Local Search,Single,Sex,11,0.04,67.26878118515015
COMPAS,GA+Local Search,Single,Sex,12,0.032,64.0634548664093
COMPAS,GA+Local Search,Single,Sex,13,0.088,64.94552898406982
COMPAS,GA+Local Search,Single,Sex,14,0.075,64.31076765060425
COMPAS,GA+Local Search,Single,Sex,15,0.086,64.32611298561096
COMPAS,GA+Local Search,Single,Sex,16,0.063,64.69762706756592
COMPAS,GA+Local Search,Single,Sex,17,0.076,64.70451784133911
COMPAS,GA+Local Search,Single,Sex,18,0.108,64.84343123435974
COMPAS,GA+Local Search,Single,Sex,19,0.083,64.68745017051697
COMPAS,GA+Local Search,Single,Sex,20,0.07,64.74329972267151
COMPAS,GA+Local Search,Single,Sex,21,0.039,63.810851097106934
COMPAS,GA+Local Search,Single,Sex,22,0.053,63.103703022003174
COMPAS,GA+Local Search,Single,Sex,23,0.068,64.03546404838562
COMPAS,GA+Local Search,Single,Sex,24,0.043,63.35499024391174
COMPAS,GA+Local Search,Single,Sex,25,0.088,63.72037315368652
COMPAS,GA+Local Search,Single,Sex,26,0.069,63.168192863464355
COMPAS,GA+Local Search,Single,Sex,27,0.063,63.53447771072388
COMPAS,GA+Local Search,Single,Sex,28,0.051,64.05290818214417
COMPAS,GA+Local Search,Single,Sex,29,0.095,63.5185751914978
COMPAS,GA+Local Search,Single,Sex,30,0.094,63.72869610786438
COMPAS,Random Search,Single,Race,1,0.029,64.4215338230133
COMPAS,Random Search,Single,Race,2,0.028,64.23723292350769
COMPAS,Random Search,Single,Race,3,0.032,64.94312500953674
COMPAS,Random Search,Single,Race,4,0.013,64.4446759223938
COMPAS,Random Search,Single,Race,5,0.026,64.78390502929688
COMPAS,Random Search,Single,Race,6,0.021,68.27680802345276
COMPAS,Random Search,Single,Race,7,0.025,64.52394795417786
COMPAS,Random Search,Single,Race,8,0.024,64.25677800178528
COMPAS,Random Search,Single,Race,9,0.018,64.62021112442017
COMPAS,Random Search,Single,Race,10,0.025,64.51296615600586
COMPAS,Random Search,Single,Race,11,0.018,64.29556584358215
COMPAS,Random Search,Single,Race,12,0.019,64.2839949131012
COMPAS,Random Search,Single,Race,13,0.018,64.82309198379517
COMPAS,Random Search,Single,Race,14,0.022,64.43345999717712
COMPAS,Random Search,Single,Race,15,0.023,64.22472286224365
COMPAS,Random Search,Single,Race,16,0.018,64.11141109466553
COMPAS,Random Search,Single,Race,17,0.023,64.14128422737122
COMPAS,Random Search,Single,Race,18,0.017,64.17399621009827
COMPAS,Random Search,Single,Race,19,0.027,64.40070581436157
COMPAS,Random Search,Single,Race,20,0.021,64.41235089302063
COMPAS,Random Search,Single,Race,21,0.026,64.39943504333496
COMPAS,Random Search,Single,Race,22,0.021,64.16199684143066
COMPAS,Random Search,Single,Race,23,0.027,64.47378301620483
COMPAS,Random Search,Single,Race,24,0.038,64.61385917663574
COMPAS,Random Search,Single,Race,25,0.018,64.35342788696289
COMPAS,Random Search,Single,Race,26,0.024,64.48357224464417
COMPAS,Random Search,Single,Race,27,0.024,64.09858202934265
COMPAS,Random Search,Single,Race,28,0.019,65.2532217502594
COMPAS,Random Search,Single,Race,29,0.029,64.50698971748352
COMPAS,Random Search,Single,Race,30,0.027,64.30385684967041
COMPAS,GA+Local Search,Single,Race,1,0.111,63.17663908004761
COMPAS,GA+Local Search,Single,Race,2,0.095,63.560940980911255
COMPAS,GA+Local Search,Single,Race,3,0.103,63.60518193244934
COMPAS,GA+Local Search,Single,Race,4,0.083,63.86052203178406
COMPAS,GA+Local Search,Single,Race,5,0.1,63.35389590263367
COMPAS,GA+Local Search,Single,Race,6,0.08,63.96069407463074
COMPAS,GA+Local Search,Single,Race,7,0.081,63.085886001586914
COMPAS,GA+Local Search,Single,Race,8,0.092,63.29226112365723
COMPAS,GA+Local Search,Single,Race,9,0.121,63.61765098571777
COMPAS,GA+Local Search,Single,Race,10,0.067,63.31730103492737
COMPAS,GA+Local Search,Single,Race,11,0.099,64.00993299484253
COMPAS,GA+Local Search,Single,Race,12,0.062,63.31106185913086
COMPAS,GA+Local Search,Single,Race,13,0.092,63.67861890792847
COMPAS,GA+Local Search,Single,Race,14,0.075,63.66805076599121
COMPAS,GA+Local Search,Single,Race,15,0.098,64.2123761177063
COMPAS,GA+Local Search,Single,Race,16,0.08,63.72743511199951
COMPAS,GA+Local Search,Single,Race,17,0.094,64.18508815765381
COMPAS,GA+Local Search,Single,Race,18,0.099,63.75865077972412
COMPAS,GA+Local Search,Single,Race,19,0.083,63.557279109954834
COMPAS,GA+Local Search,Single,Race,20,0.073,64.14043116569519
COMPAS,GA+Local Search,Single,Race,21,0.109,63.963095903396606
COMPAS,GA+Local Search,Single,Race,22,0.054,64.25806522369385
COMPAS,GA+Local Search,Single,Race,23,0.096,63.862329721450806
COMPAS,GA+Local Search,Single,Race,24,0.067,63.77830410003662
